,GRADE,0,AMTM,MA 5,MA 10,MA 20,50,100,200
2024-09-24 00:00:00,,,29.51000022888184,,,,,,
2024-09-25 00:00:00,,,28.0,,,,,,
2024-09-26 00:00:00,,,27.01000022888184,,,,,,
2024-09-27 00:00:00,,,25.670000076293945,,,,,,
2024-09-30 00:00:00,,,32.25,28.488000106811523,,,,,
2024-10-01 00:00:00,,,25.75,27.736000061035156,,,,,
2024-10-02 00:00:00,,,25.270000457763672,27.190000152587892,,,,,
2024-10-03 00:00:00,,,25.399999618530277,26.868000030517578,,,,,
2024-10-04 00:00:00,,,26.46999931335449,27.027999877929688,,,,,
2024-10-07 00:00:00,,,25.549999237060547,25.687999725341797,27.08799991607666,,,,
2024-10-08 00:00:00,,,24.75,25.487999725341798,26.611999893188475,,,,
2024-10-09 00:00:00,,,25.5,25.533999633789062,26.361999893188475,,,,
2024-10-10 00:00:00,,,25.989999771118164,25.65199966430664,26.25999984741211,,,,
2024-10-11 00:00:00,,,26.899999618530277,25.737999725341798,26.38299980163574,,,,
2024-10-14 00:00:00,,,28.3799991607666,26.30399971008301,25.9959997177124,,,,
2024-10-15 00:00:00,,,28.700000762939453,27.0939998626709,26.290999794006346,,,,
2024-10-16 00:00:00,,,28.93000030517578,27.779999923706054,26.656999778747558,,,,
2024-10-17 00:00:00,,,29.690000534057617,28.520000076293947,27.08599987030029,,,,
2024-10-18 00:00:00,,,29.299999237060547,29.0,27.368999862670897,,,,
2024-10-21 00:00:00,,,28.959999084472656,29.11599998474121,27.70999984741211,27.398999881744384,,,
2024-10-22 00:00:00,,,28.96999931335449,29.16999969482422,28.13199977874756,27.37199983596802,,,
2024-10-23 00:00:00,,,28.8700008392334,29.157999801635743,28.4689998626709,27.415499877929687,,,
2024-10-24 00:00:00,,,29.96999931335449,29.213999557495118,28.86699981689453,27.56349983215332,,,
2024-10-25 00:00:00,,,29.649999618530277,29.283999633789062,29.141999816894533,27.762499809265137,,,
2024-10-28 00:00:00,,,30.8799991607666,29.66799964904785,29.391999816894533,27.693999767303467,,,
2024-10-29 00:00:00,,,30.809999465942383,30.03599967956543,29.602999687194824,27.946999740600585,,,
2024-10-30 00:00:00,,,30.1200008392334,30.28599967956543,29.721999740600587,28.18949975967407,,,
2024-10-31 00:00:00,,,29.739999771118164,30.239999771118164,29.72699966430664,28.406499767303465,,,
2024-11-01 00:00:00,,,30.790000915527344,30.46800003051758,29.87599983215332,28.622499847412108,,,
